"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 06:25:37 GMT 2024","Mon Apr 29 06:25:37 GMT 2024","314","Surefire suite","Surefire test","alertsFramesWindows.temp.apiDemoSimpleTest","alertsFramesWindows.temp.apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"passed","Mon Apr 29 06:25:38 GMT 2024","Mon Apr 29 06:25:41 GMT 2024","2905","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.ExamplesTest","alertsFramesWindows.temp.ExamplesTest","alertTest","alertTest",""
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.ExamplesTest","alertsFramesWindows.temp.ExamplesTest","sliderTest","sliderTest",""
"passed","Mon Apr 29 06:25:43 GMT 2024","Mon Apr 29 06:25:44 GMT 2024","1202","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.ExamplesTest","alertsFramesWindows.temp.ExamplesTest","networkTest","networkTest",""
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.ExamplesTest","alertsFramesWindows.temp.ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"passed","Mon Apr 29 06:25:34 GMT 2024","Mon Apr 29 06:25:35 GMT 2024","1309","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"passed","Mon Apr 29 06:25:44 GMT 2024","Mon Apr 29 06:25:44 GMT 2024","228","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","loginTest","loginTest","Succesfull login"
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
"passed","Mon Apr 29 06:25:20 GMT 2024","Mon Apr 29 06:25:27 GMT 2024","6855","Surefire suite","Surefire test","exampleTests.GlobalTest","exampleTests.GlobalTest","checkTest","checkTest",""
"unknown","Mon Apr 29 06:24:40 GMT 2024","Mon Apr 29 06:24:40 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"passed","Mon Apr 29 06:25:28 GMT 2024","Mon Apr 29 06:25:30 GMT 2024","2339","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"passed","Mon Apr 29 06:25:41 GMT 2024","Mon Apr 29 06:25:42 GMT 2024","1323","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Mon Apr 29 06:25:35 GMT 2024","Mon Apr 29 06:25:37 GMT 2024","1192","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.ExamplesTest","alertsFramesWindows.temp.ExamplesTest","textBoxFillTest","textBoxFillTest",""
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"passed","Mon Apr 29 06:25:38 GMT 2024","Mon Apr 29 06:25:38 GMT 2024","4","Surefire suite","Surefire test","alertsFramesWindows.temp.LogAddTest","alertsFramesWindows.temp.LogAddTest","addLogs","addLogs",""
"passed","Mon Apr 29 06:25:31 GMT 2024","Mon Apr 29 06:25:34 GMT 2024","3422","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"unknown","Mon Apr 29 06:24:41 GMT 2024","Mon Apr 29 06:24:41 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.temp.GoogleSearchTest","alertsFramesWindows.temp.GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
