"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 07:19:02 GMT 2024","Wed Apr 24 07:19:04 GMT 2024","1831","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Wed Apr 24 07:19:39 GMT 2024","Wed Apr 24 07:19:40 GMT 2024","803","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
"unknown","Wed Apr 24 07:18:53 GMT 2024","Wed Apr 24 07:18:53 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Wed Apr 24 07:19:04 GMT 2024","Wed Apr 24 07:19:04 GMT 2024","192","Surefire suite","Surefire test","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
"passed","Wed Apr 24 07:19:29 GMT 2024","Wed Apr 24 07:19:35 GMT 2024","5675","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"failed","Wed Apr 24 07:19:04 GMT 2024","Wed Apr 24 07:19:10 GMT 2024","5317","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"passed","Wed Apr 24 07:19:16 GMT 2024","Wed Apr 24 07:19:18 GMT 2024","2522","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"passed","Wed Apr 24 07:19:23 GMT 2024","Wed Apr 24 07:19:24 GMT 2024","1013","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"passed","Wed Apr 24 07:19:41 GMT 2024","Wed Apr 24 07:19:43 GMT 2024","1605","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"passed","Wed Apr 24 07:19:40 GMT 2024","Wed Apr 24 07:19:41 GMT 2024","808","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"failed","Wed Apr 24 07:19:10 GMT 2024","Wed Apr 24 07:19:16 GMT 2024","5274","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"passed","Wed Apr 24 07:19:19 GMT 2024","Wed Apr 24 07:19:23 GMT 2024","4339","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"passed","Wed Apr 24 07:19:27 GMT 2024","Wed Apr 24 07:19:27 GMT 2024","647","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"passed","Wed Apr 24 07:19:43 GMT 2024","Wed Apr 24 07:19:43 GMT 2024","363","Surefire suite","Surefire test","apiDemoSimpleTest","apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"unknown","Wed Apr 24 07:18:53 GMT 2024","Wed Apr 24 07:18:53 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"passed","Wed Apr 24 07:19:24 GMT 2024","Wed Apr 24 07:19:25 GMT 2024","706","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"passed","Wed Apr 24 07:19:36 GMT 2024","Wed Apr 24 07:19:39 GMT 2024","3560","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"unknown","Wed Apr 24 07:18:53 GMT 2024","Wed Apr 24 07:18:53 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"passed","Wed Apr 24 07:19:44 GMT 2024","Wed Apr 24 07:20:04 GMT 2024","20341","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"passed","Wed Apr 24 07:19:27 GMT 2024","Wed Apr 24 07:19:29 GMT 2024","1319","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"passed","Wed Apr 24 07:20:04 GMT 2024","Wed Apr 24 07:20:05 GMT 2024","892","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Wed Apr 24 07:19:25 GMT 2024","Wed Apr 24 07:19:27 GMT 2024","1633","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"unknown","Wed Apr 24 07:18:53 GMT 2024","Wed Apr 24 07:18:53 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"passed","Wed Apr 24 07:19:29 GMT 2024","Wed Apr 24 07:19:29 GMT 2024","853","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"unknown","Wed Apr 24 07:18:53 GMT 2024","Wed Apr 24 07:18:53 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
