"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 15:21:37 GMT 2024","Mon Apr 29 15:21:37 GMT 2024","8","Surefire suite","Surefire test","exampleTests.LogAddTest","exampleTests.LogAddTest","addLogs","addLogs",""
"passed","Mon Apr 29 15:21:37 GMT 2024","Mon Apr 29 15:21:40 GMT 2024","2616","Surefire suite","Surefire test","exampleTests.GoogleSearchTest","exampleTests.GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"skipped","Mon Apr 29 15:23:44 GMT 2024","Mon Apr 29 15:23:44 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"passed","Mon Apr 29 15:23:57 GMT 2024","Mon Apr 29 15:24:00 GMT 2024","2813","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"passed","Mon Apr 29 15:23:42 GMT 2024","Mon Apr 29 15:23:44 GMT 2024","1365","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"passed","Mon Apr 29 15:22:37 GMT 2024","Mon Apr 29 15:22:42 GMT 2024","5103","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Mon Apr 29 15:24:01 GMT 2024","Mon Apr 29 15:24:02 GMT 2024","826","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"broken","Mon Apr 29 15:23:42 GMT 2024","Mon Apr 29 15:23:42 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","attachFilesToFailedTest","attachFilesToFailedTest",""
"passed","Mon Apr 29 15:22:25 GMT 2024","Mon Apr 29 15:22:36 GMT 2024","11679","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Mon Apr 29 15:22:36 GMT 2024","Mon Apr 29 15:22:37 GMT 2024","111","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"passed","Mon Apr 29 15:24:02 GMT 2024","Mon Apr 29 15:24:02 GMT 2024","189","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","loginTest","loginTest","Succesfull login"
"passed","Mon Apr 29 15:23:53 GMT 2024","Mon Apr 29 15:23:55 GMT 2024","1524","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"passed","Mon Apr 29 15:24:00 GMT 2024","Mon Apr 29 15:24:01 GMT 2024","1470","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Mon Apr 29 15:22:37 GMT 2024","Mon Apr 29 15:22:37 GMT 2024","106","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"passed","Mon Apr 29 15:21:54 GMT 2024","Mon Apr 29 15:22:24 GMT 2024","30098","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"passed","Mon Apr 29 15:23:55 GMT 2024","Mon Apr 29 15:23:56 GMT 2024","1552","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"passed","Mon Apr 29 15:22:24 GMT 2024","Mon Apr 29 15:22:24 GMT 2024","4","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"passed","Mon Apr 29 15:21:40 GMT 2024","Mon Apr 29 15:21:54 GMT 2024","13694","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"passed","Mon Apr 29 15:21:36 GMT 2024","Mon Apr 29 15:21:36 GMT 2024","557","Surefire suite","Surefire test","exampleTests.apiDemoSimpleTest","exampleTests.apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"passed","Mon Apr 29 15:23:44 GMT 2024","Mon Apr 29 15:23:53 GMT 2024","9361","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"skipped","Mon Apr 29 15:23:44 GMT 2024","Mon Apr 29 15:23:44 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
"passed","Mon Apr 29 15:22:36 GMT 2024","Mon Apr 29 15:22:36 GMT 2024","142","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
