"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 18:50:54 GMT 2024","Wed Apr 17 18:50:55 GMT 2024","739","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"unknown","Wed Apr 17 18:50:35 GMT 2024","Wed Apr 17 18:50:35 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"passed","Wed Apr 17 18:51:12 GMT 2024","Wed Apr 17 18:51:13 GMT 2024","1186","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Wed Apr 17 18:50:40 GMT 2024","Wed Apr 17 18:50:42 GMT 2024","1672","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Wed Apr 17 18:50:42 GMT 2024","Wed Apr 17 18:50:53 GMT 2024","10902","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Wed Apr 17 18:50:53 GMT 2024","Wed Apr 17 18:50:54 GMT 2024","770","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"passed","Wed Apr 17 18:50:55 GMT 2024","Wed Apr 17 18:50:56 GMT 2024","809","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"passed","Wed Apr 17 18:51:03 GMT 2024","Wed Apr 17 18:51:12 GMT 2024","8724","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"unknown","Wed Apr 17 18:50:35 GMT 2024","Wed Apr 17 18:50:35 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"passed","Wed Apr 17 18:50:42 GMT 2024","Wed Apr 17 18:50:42 GMT 2024","154","Surefire suite","Surefire test","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
"passed","Wed Apr 17 18:50:56 GMT 2024","Wed Apr 17 18:51:01 GMT 2024","5428","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"unknown","Wed Apr 17 18:50:35 GMT 2024","Wed Apr 17 18:50:35 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Wed Apr 17 18:51:01 GMT 2024","Wed Apr 17 18:51:03 GMT 2024","1459","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Wed Apr 17 18:50:35 GMT 2024","Wed Apr 17 18:50:35 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"unknown","Wed Apr 17 18:50:35 GMT 2024","Wed Apr 17 18:50:35 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
