"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 05:06:54 GMT 2024","Wed Apr 24 05:06:57 GMT 2024","3712","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Wed Apr 24 05:08:00 GMT 2024","Wed Apr 24 05:08:01 GMT 2024","978","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"passed","Wed Apr 24 05:07:20 GMT 2024","Wed Apr 24 05:07:21 GMT 2024","812","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"passed","Wed Apr 24 05:07:10 GMT 2024","Wed Apr 24 05:07:11 GMT 2024","1146","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"passed","Wed Apr 24 05:07:05 GMT 2024","Wed Apr 24 05:07:05 GMT 2024","923","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"passed","Wed Apr 24 05:07:06 GMT 2024","Wed Apr 24 05:07:09 GMT 2024","3339","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"passed","Wed Apr 24 05:08:01 GMT 2024","Wed Apr 24 05:08:03 GMT 2024","1353","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"passed","Wed Apr 24 05:07:02 GMT 2024","Wed Apr 24 05:07:05 GMT 2024","2645","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"passed","Wed Apr 24 05:07:19 GMT 2024","Wed Apr 24 05:07:20 GMT 2024","912","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"passed","Wed Apr 24 05:07:58 GMT 2024","Wed Apr 24 05:08:00 GMT 2024","2042","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
