"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 15:57:32 GMT 2024","Mon Apr 29 15:57:33 GMT 2024","1245","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"passed","Mon Apr 29 15:56:58 GMT 2024","Mon Apr 29 15:57:00 GMT 2024","1864","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Mon Apr 29 15:56:26 GMT 2024","Mon Apr 29 15:56:29 GMT 2024","2456","Surefire suite","Surefire test","exampleTests.GoogleSearchTest","exampleTests.GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"passed","Mon Apr 29 15:56:26 GMT 2024","Mon Apr 29 15:56:26 GMT 2024","7","Surefire suite","Surefire test","exampleTests.LogAddTest","exampleTests.LogAddTest","addLogs","addLogs",""
"skipped","Mon Apr 29 15:58:34 GMT 2024","Mon Apr 29 15:58:34 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"passed","Mon Apr 29 15:59:35 GMT 2024","Mon Apr 29 15:59:36 GMT 2024","175","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","loginTest","loginTest","Succesfull login"
"passed","Mon Apr 29 15:56:58 GMT 2024","Mon Apr 29 15:56:58 GMT 2024","5","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"passed","Mon Apr 29 15:59:35 GMT 2024","Mon Apr 29 15:59:35 GMT 2024","695","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Mon Apr 29 15:57:06 GMT 2024","Mon Apr 29 15:57:31 GMT 2024","24904","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"broken","Mon Apr 29 15:58:34 GMT 2024","Mon Apr 29 15:58:34 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","attachFilesToFailedTest","attachFilesToFailedTest",""
"skipped","Mon Apr 29 15:58:34 GMT 2024","Mon Apr 29 15:58:34 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"skipped","Mon Apr 29 15:59:34 GMT 2024","Mon Apr 29 15:59:34 GMT 2024","0","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"broken","Mon Apr 29 15:57:34 GMT 2024","Mon Apr 29 15:58:04 GMT 2024","30052","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"passed","Mon Apr 29 15:57:00 GMT 2024","Mon Apr 29 15:57:00 GMT 2024","199","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"passed","Mon Apr 29 15:57:01 GMT 2024","Mon Apr 29 15:57:06 GMT 2024","5078","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"broken","Mon Apr 29 15:59:34 GMT 2024","Mon Apr 29 15:59:34 GMT 2024","0","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","attachFilesToFailedTest","attachFilesToFailedTest",""
"broken","Mon Apr 29 15:58:34 GMT 2024","Mon Apr 29 15:59:04 GMT 2024","30049","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"passed","Mon Apr 29 15:56:25 GMT 2024","Mon Apr 29 15:56:26 GMT 2024","311","Surefire suite","Surefire test","exampleTests.apiDemoSimpleTest","exampleTests.apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"passed","Mon Apr 29 15:57:00 GMT 2024","Mon Apr 29 15:57:00 GMT 2024","152","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"passed","Mon Apr 29 15:57:00 GMT 2024","Mon Apr 29 15:57:01 GMT 2024","109","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"passed","Mon Apr 29 15:56:29 GMT 2024","Mon Apr 29 15:56:56 GMT 2024","26403","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"passed","Mon Apr 29 15:57:31 GMT 2024","Mon Apr 29 15:57:32 GMT 2024","1318","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
"passed","Mon Apr 29 15:56:56 GMT 2024","Mon Apr 29 15:56:58 GMT 2024","1797","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
