"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 16:06:46 GMT 2024","Mon Apr 29 16:06:47 GMT 2024","1161","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
"broken","Mon Apr 29 16:06:09 GMT 2024","Mon Apr 29 16:06:14 GMT 2024","5275","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"passed","Mon Apr 29 16:06:26 GMT 2024","Mon Apr 29 16:06:26 GMT 2024","4","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"passed","Mon Apr 29 16:06:26 GMT 2024","Mon Apr 29 16:06:38 GMT 2024","12116","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Mon Apr 29 16:06:06 GMT 2024","Mon Apr 29 16:06:06 GMT 2024","6","Surefire suite","Surefire test","exampleTests.LogAddTest","exampleTests.LogAddTest","addLogs","addLogs",""
"passed","Mon Apr 29 16:06:47 GMT 2024","Mon Apr 29 16:06:48 GMT 2024","1175","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"passed","Mon Apr 29 16:06:06 GMT 2024","Mon Apr 29 16:06:09 GMT 2024","2733","Surefire suite","Surefire test","exampleTests.GoogleSearchTest","exampleTests.GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"passed","Mon Apr 29 16:06:38 GMT 2024","Mon Apr 29 16:06:38 GMT 2024","100","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"passed","Mon Apr 29 16:06:52 GMT 2024","Mon Apr 29 16:06:53 GMT 2024","1623","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"passed","Mon Apr 29 16:07:05 GMT 2024","Mon Apr 29 16:07:07 GMT 2024","1459","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Mon Apr 29 16:06:38 GMT 2024","Mon Apr 29 16:06:38 GMT 2024","101","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"passed","Mon Apr 29 16:06:15 GMT 2024","Mon Apr 29 16:06:26 GMT 2024","10788","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"passed","Mon Apr 29 16:06:38 GMT 2024","Mon Apr 29 16:06:43 GMT 2024","5084","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Mon Apr 29 16:06:53 GMT 2024","Mon Apr 29 16:06:55 GMT 2024","1454","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"passed","Mon Apr 29 16:06:49 GMT 2024","Mon Apr 29 16:06:52 GMT 2024","2758","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"passed","Mon Apr 29 16:07:08 GMT 2024","Mon Apr 29 16:07:08 GMT 2024","192","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","loginTest","loginTest","Succesfull login"
"failed","Mon Apr 29 16:05:50 GMT 2024","Mon Apr 29 16:06:05 GMT 2024","14743","Surefire suite","Surefire test","exampleTests.apiDemoSimpleTest","exampleTests.apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"passed","Mon Apr 29 16:07:07 GMT 2024","Mon Apr 29 16:07:08 GMT 2024","720","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Mon Apr 29 16:06:55 GMT 2024","Mon Apr 29 16:07:05 GMT 2024","10443","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"passed","Mon Apr 29 16:06:44 GMT 2024","Mon Apr 29 16:06:46 GMT 2024","2185","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"passed","Mon Apr 29 16:06:38 GMT 2024","Mon Apr 29 16:06:38 GMT 2024","120","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
