"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 29 12:53:20 GMT 2024","Mon Apr 29 12:53:20 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"broken","Mon Apr 29 12:53:20 GMT 2024","Mon Apr 29 12:53:20 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","attachFilesToFailedTest","attachFilesToFailedTest",""
"passed","Mon Apr 29 12:53:20 GMT 2024","Mon Apr 29 12:53:23 GMT 2024","2909","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"passed","Mon Apr 29 12:53:23 GMT 2024","Mon Apr 29 12:53:25 GMT 2024","1249","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
"skipped","Mon Apr 29 12:54:33 GMT 2024","Mon Apr 29 12:54:33 GMT 2024","2","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"skipped","Mon Apr 29 12:53:20 GMT 2024","Mon Apr 29 12:53:20 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"failed","Mon Apr 29 12:52:15 GMT 2024","Mon Apr 29 12:52:20 GMT 2024","5006","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"passed","Mon Apr 29 12:53:31 GMT 2024","Mon Apr 29 12:53:33 GMT 2024","1703","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"unknown","Mon Apr 29 12:51:46 GMT 2024","Mon Apr 29 12:51:46 GMT 2024","1","Surefire suite","Surefire test","exampleTests.GoogleSearchTest","exampleTests.GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"broken","Mon Apr 29 12:52:20 GMT 2024","Mon Apr 29 12:52:50 GMT 2024","30049","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Mon Apr 29 12:54:33 GMT 2024","Mon Apr 29 12:54:34 GMT 2024","722","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Mon Apr 29 12:51:57 GMT 2024","Mon Apr 29 12:51:58 GMT 2024","617","Surefire suite","Surefire test","exampleTests.apiDemoSimpleTest","exampleTests.apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"skipped","Mon Apr 29 12:53:20 GMT 2024","Mon Apr 29 12:53:20 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"passed","Mon Apr 29 12:54:34 GMT 2024","Mon Apr 29 12:54:34 GMT 2024","172","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","loginTest","loginTest","Succesfull login"
"passed","Mon Apr 29 12:51:58 GMT 2024","Mon Apr 29 12:51:58 GMT 2024","7","Surefire suite","Surefire test","exampleTests.LogAddTest","exampleTests.LogAddTest","addLogs","addLogs",""
"broken","Mon Apr 29 12:54:33 GMT 2024","Mon Apr 29 12:54:33 GMT 2024","0","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","attachFilesToFailedTest","attachFilesToFailedTest",""
"broken","Mon Apr 29 12:53:33 GMT 2024","Mon Apr 29 12:54:03 GMT 2024","30052","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"passed","Mon Apr 29 12:53:30 GMT 2024","Mon Apr 29 12:53:31 GMT 2024","1126","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"passed","Mon Apr 29 12:53:26 GMT 2024","Mon Apr 29 12:53:30 GMT 2024","3526","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"passed","Mon Apr 29 12:53:25 GMT 2024","Mon Apr 29 12:53:26 GMT 2024","1202","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"failed","Mon Apr 29 12:52:09 GMT 2024","Mon Apr 29 12:52:15 GMT 2024","5483","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"skipped","Mon Apr 29 12:53:20 GMT 2024","Mon Apr 29 12:53:20 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"passed","Mon Apr 29 12:51:59 GMT 2024","Mon Apr 29 12:52:09 GMT 2024","9954","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"broken","Mon Apr 29 12:52:20 GMT 2024","Mon Apr 29 12:52:20 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","attachFilesToFailedTest","attachFilesToFailedTest",""
