"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 18:39:09 GMT 2024","Wed Apr 17 18:39:14 GMT 2024","5474","Surefire suite","Surefire test","AlertsTest","AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Wed Apr 17 18:38:34 GMT 2024","Wed Apr 17 18:38:54 GMT 2024","19899","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"unknown","Wed Apr 17 18:38:25 GMT 2024","Wed Apr 17 18:38:25 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Wed Apr 17 18:38:54 GMT 2024","Wed Apr 17 18:38:55 GMT 2024","1131","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Wed Apr 17 18:38:27 GMT 2024","Wed Apr 17 18:38:28 GMT 2024","897","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"unknown","Wed Apr 17 18:38:25 GMT 2024","Wed Apr 17 18:38:25 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"passed","Wed Apr 17 18:38:32 GMT 2024","Wed Apr 17 18:38:34 GMT 2024","1739","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"passed","Wed Apr 17 18:39:07 GMT 2024","Wed Apr 17 18:39:08 GMT 2024","651","Surefire suite","Surefire test","AlertsTest","AlertsTest","confirmButtonOk","confirmButtonOk",""
"unknown","Wed Apr 17 18:38:25 GMT 2024","Wed Apr 17 18:38:25 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"passed","Wed Apr 17 18:39:08 GMT 2024","Wed Apr 17 18:39:09 GMT 2024","477","Surefire suite","Surefire test","AlertsTest","AlertsTest","promtButton","promtButton",""
"passed","Wed Apr 17 18:38:29 GMT 2024","Wed Apr 17 18:38:32 GMT 2024","3093","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"passed","Wed Apr 17 18:39:07 GMT 2024","Wed Apr 17 18:39:07 GMT 2024","526","Surefire suite","Surefire test","AlertsTest","AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"unknown","Wed Apr 17 18:38:25 GMT 2024","Wed Apr 17 18:38:25 GMT 2024","2","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"passed","Wed Apr 17 18:38:56 GMT 2024","Wed Apr 17 18:39:07 GMT 2024","11309","Surefire suite","Surefire test","AlertsTest","AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Wed Apr 17 18:38:28 GMT 2024","Wed Apr 17 18:38:28 GMT 2024","195","Surefire suite","Surefire test","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
