"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 04 18:33:00 GMT 2024","Thu Apr 04 18:33:02 GMT 2024","2026","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Thu Apr 04 18:32:48 GMT 2024","Thu Apr 04 18:32:48 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"unknown","Thu Apr 04 18:32:48 GMT 2024","Thu Apr 04 18:32:48 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"unknown","Thu Apr 04 18:32:48 GMT 2024","Thu Apr 04 18:32:48 GMT 2024","2","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"unknown","Thu Apr 04 18:32:48 GMT 2024","Thu Apr 04 18:32:48 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Thu Apr 04 18:33:00 GMT 2024","Thu Apr 04 18:33:00 GMT 2024","0","Surefire suite","Surefire test","ClassTarasTest","ClassTarasTest","openPageTest","openPageTest",""
"passed","Thu Apr 04 18:32:56 GMT 2024","Thu Apr 04 18:32:59 GMT 2024","3580","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
