"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Apr 24 18:52:32 GMT 2024","Wed Apr 24 18:52:32 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"unknown","Wed Apr 24 18:52:32 GMT 2024","Wed Apr 24 18:52:32 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Wed Apr 24 18:53:08 GMT 2024","Wed Apr 24 18:53:10 GMT 2024","1319","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"passed","Wed Apr 24 18:53:15 GMT 2024","Wed Apr 24 18:53:16 GMT 2024","207","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","loginTest","loginTest","Succesfull login"
"unknown","Wed Apr 24 18:52:32 GMT 2024","Wed Apr 24 18:52:32 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"unknown","Wed Apr 24 18:52:32 GMT 2024","Wed Apr 24 18:52:32 GMT 2024","0","Surefire suite","Surefire test","exampleTests.ExamplesTest","exampleTests.ExamplesTest","textBoxFillTest","textBoxFillTest",""
"passed","Wed Apr 24 18:52:48 GMT 2024","Wed Apr 24 18:52:48 GMT 2024","450","Surefire suite","Surefire test","exampleTests.apiDemoSimpleTest","exampleTests.apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"unknown","Wed Apr 24 18:52:32 GMT 2024","Wed Apr 24 18:52:32 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"unknown","Wed Apr 24 18:52:32 GMT 2024","Wed Apr 24 18:52:32 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"unknown","Wed Apr 24 18:52:32 GMT 2024","Wed Apr 24 18:52:32 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
