"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 18:23:27 GMT 2024","Sun Apr 21 18:23:37 GMT 2024","9339","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"passed","Sun Apr 21 18:23:37 GMT 2024","Sun Apr 21 18:23:53 GMT 2024","15347","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"passed","Sun Apr 21 18:24:52 GMT 2024","Sun Apr 21 18:24:53 GMT 2024","875","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Sun Apr 21 18:23:26 GMT 2024","Sun Apr 21 18:23:27 GMT 2024","613","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Sun Apr 21 18:24:26 GMT 2024","Sun Apr 21 18:24:27 GMT 2024","781","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"unknown","Sun Apr 21 18:23:25 GMT 2024","Sun Apr 21 18:23:25 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"passed","Sun Apr 21 18:24:27 GMT 2024","Sun Apr 21 18:24:27 GMT 2024","367","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"passed","Sun Apr 21 18:24:35 GMT 2024","Sun Apr 21 18:24:35 GMT 2024","320","Surefire suite","Surefire test","apiDemoSimpleTest","apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"passed","Sun Apr 21 18:24:33 GMT 2024","Sun Apr 21 18:24:35 GMT 2024","1134","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Sun Apr 21 18:23:25 GMT 2024","Sun Apr 21 18:23:25 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"unknown","Sun Apr 21 18:23:24 GMT 2024","Sun Apr 21 18:23:24 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Sun Apr 21 18:24:36 GMT 2024","Sun Apr 21 18:24:52 GMT 2024","16391","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"unknown","Sun Apr 21 18:23:25 GMT 2024","Sun Apr 21 18:23:25 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"passed","Sun Apr 21 18:23:27 GMT 2024","Sun Apr 21 18:23:27 GMT 2024","151","Surefire suite","Surefire test","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
"passed","Sun Apr 21 18:24:27 GMT 2024","Sun Apr 21 18:24:28 GMT 2024","746","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"broken","Sun Apr 21 18:23:54 GMT 2024","Sun Apr 21 18:24:24 GMT 2024","30003","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"unknown","Sun Apr 21 18:23:25 GMT 2024","Sun Apr 21 18:23:25 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"passed","Sun Apr 21 18:24:28 GMT 2024","Sun Apr 21 18:24:33 GMT 2024","5373","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Sun Apr 21 18:23:53 GMT 2024","Sun Apr 21 18:23:53 GMT 2024","829","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
