"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 18:03:52 GMT 2024","Wed Apr 24 18:03:54 GMT 2024","1762","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Wed Apr 24 18:02:59 GMT 2024","Wed Apr 24 18:03:04 GMT 2024","4942","Surefire suite","Surefire test","exampleTests.apiDemoSimpleTest","exampleTests.apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"unknown","Wed Apr 24 18:02:26 GMT 2024","Wed Apr 24 18:02:26 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"unknown","Wed Apr 24 18:02:26 GMT 2024","Wed Apr 24 18:02:26 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Wed Apr 24 18:03:05 GMT 2024","Wed Apr 24 18:03:05 GMT 2024","22","Surefire suite","Surefire test","exampleTests.LogAddTest","exampleTests.LogAddTest","addLogs","addLogs",""
"unknown","Wed Apr 24 18:02:26 GMT 2024","Wed Apr 24 18:02:26 GMT 2024","0","Surefire suite","Surefire test","exampleTests.ExamplesTest","exampleTests.ExamplesTest","networkTest","networkTest",""
"unknown","Wed Apr 24 18:02:26 GMT 2024","Wed Apr 24 18:02:26 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"passed","Wed Apr 24 18:03:43 GMT 2024","Wed Apr 24 18:03:44 GMT 2024","1695","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"unknown","Wed Apr 24 18:02:26 GMT 2024","Wed Apr 24 18:02:26 GMT 2024","2","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"passed","Wed Apr 24 18:03:55 GMT 2024","Wed Apr 24 18:03:56 GMT 2024","205","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","loginTest","loginTest","Succesfull login"
"passed","Wed Apr 24 18:03:45 GMT 2024","Wed Apr 24 18:03:52 GMT 2024","7406","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"passed","Wed Apr 24 18:03:05 GMT 2024","Wed Apr 24 18:03:16 GMT 2024","10642","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"unknown","Wed Apr 24 18:02:26 GMT 2024","Wed Apr 24 18:02:26 GMT 2024","0","Surefire suite","Surefire test","exampleTests.ExamplesTest","exampleTests.ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"unknown","Wed Apr 24 18:02:26 GMT 2024","Wed Apr 24 18:02:26 GMT 2024","0","Surefire suite","Surefire test","exampleTests.ExamplesTest","exampleTests.ExamplesTest","alertTest","alertTest",""
"unknown","Wed Apr 24 18:02:26 GMT 2024","Wed Apr 24 18:02:26 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
