"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 18:16:30 GMT 2024","Sun Apr 21 18:16:31 GMT 2024","717","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"passed","Sun Apr 21 18:17:14 GMT 2024","Sun Apr 21 18:17:15 GMT 2024","780","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Sun Apr 21 18:16:29 GMT 2024","Sun Apr 21 18:16:29 GMT 2024","816","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"unknown","Sun Apr 21 18:15:46 GMT 2024","Sun Apr 21 18:15:46 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"unknown","Sun Apr 21 18:15:46 GMT 2024","Sun Apr 21 18:15:46 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Sun Apr 21 18:15:49 GMT 2024","Sun Apr 21 18:15:51 GMT 2024","2361","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Sun Apr 21 18:16:25 GMT 2024","Sun Apr 21 18:16:26 GMT 2024","877","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"passed","Sun Apr 21 18:16:37 GMT 2024","Sun Apr 21 18:16:38 GMT 2024","1029","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"passed","Sun Apr 21 18:16:38 GMT 2024","Sun Apr 21 18:16:39 GMT 2024","503","Surefire suite","Surefire test","apiDemoSimpleTest","apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"passed","Sun Apr 21 18:15:51 GMT 2024","Sun Apr 21 18:15:51 GMT 2024","174","Surefire suite","Surefire test","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
"unknown","Sun Apr 21 18:15:46 GMT 2024","Sun Apr 21 18:15:46 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"broken","Sun Apr 21 18:16:39 GMT 2024","Sun Apr 21 18:17:09 GMT 2024","30003","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"unknown","Sun Apr 21 18:15:46 GMT 2024","Sun Apr 21 18:15:46 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"passed","Sun Apr 21 18:15:52 GMT 2024","Sun Apr 21 18:16:15 GMT 2024","22925","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"passed","Sun Apr 21 18:16:15 GMT 2024","Sun Apr 21 18:16:25 GMT 2024","9861","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"unknown","Sun Apr 21 18:15:46 GMT 2024","Sun Apr 21 18:15:46 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"passed","Sun Apr 21 18:16:26 GMT 2024","Sun Apr 21 18:16:29 GMT 2024","2331","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Sun Apr 21 18:16:31 GMT 2024","Sun Apr 21 18:16:37 GMT 2024","5638","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Sun Apr 21 18:16:29 GMT 2024","Sun Apr 21 18:16:30 GMT 2024","768","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
