"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 10:59:59 GMT 2024","Wed Apr 24 11:00:08 GMT 2024","9807","MyTestSuite","MyTest","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"broken","Wed Apr 24 10:59:02 GMT 2024","Wed Apr 24 10:59:02 GMT 2024","1","MyTestSuite","MyTest","OksanaTest","OksanaTest","attachFilesToFailedTest","attachFilesToFailedTest",""
"skipped","Wed Apr 24 10:59:58 GMT 2024","Wed Apr 24 10:59:58 GMT 2024","1","MyTestSuite","MyTest","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"passed","Wed Apr 24 11:00:08 GMT 2024","Wed Apr 24 11:00:10 GMT 2024","1288","MyTestSuite","MyTest","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
"passed","Wed Apr 24 10:59:17 GMT 2024","Wed Apr 24 10:59:19 GMT 2024","1470","MyTestSuite","MyTest","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"passed","Wed Apr 24 10:59:20 GMT 2024","Wed Apr 24 10:59:28 GMT 2024","8050","MyTestSuite","MyTest","ElementsHelenTest","ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"passed","Wed Apr 24 10:59:03 GMT 2024","Wed Apr 24 10:59:17 GMT 2024","14197","MyTestSuite","MyTest","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"broken","Wed Apr 24 10:59:14 GMT 2024","Wed Apr 24 10:59:17 GMT 2024","3040","MyTestSuite","MyTest","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"skipped","Wed Apr 24 10:59:58 GMT 2024","Wed Apr 24 10:59:58 GMT 2024","0","MyTestSuite","MyTest","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Wed Apr 24 10:59:14 GMT 2024","Wed Apr 24 10:59:14 GMT 2024","25","MyTestSuite","MyTest","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"passed","Wed Apr 24 10:59:03 GMT 2024","Wed Apr 24 10:59:03 GMT 2024","17","MyTestSuite","MyTest","LogAddTest","LogAddTest","addLogs","addLogs",""
"passed","Wed Apr 24 10:59:03 GMT 2024","Wed Apr 24 10:59:14 GMT 2024","10492","MyTestSuite","MyTest","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"skipped","Wed Apr 24 10:59:58 GMT 2024","Wed Apr 24 10:59:58 GMT 2024","0","MyTestSuite","MyTest","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"broken","Wed Apr 24 10:58:59 GMT 2024","Wed Apr 24 10:58:59 GMT 2024","67","MyTestSuite","MyTest","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Wed Apr 24 10:59:19 GMT 2024","Wed Apr 24 10:59:20 GMT 2024","1304","MyTestSuite","MyTest","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"passed","Wed Apr 24 11:00:10 GMT 2024","Wed Apr 24 11:00:11 GMT 2024","1243","MyTestSuite","MyTest","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"broken","Wed Apr 24 11:00:28 GMT 2024","Wed Apr 24 11:00:28 GMT 2024","1","MyTestSuite","MyTest","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","attachFilesToFailedTest","attachFilesToFailedTest",""
"broken","Wed Apr 24 10:58:59 GMT 2024","Wed Apr 24 10:59:00 GMT 2024","947","MyTestSuite","MyTest","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
"broken","Wed Apr 24 10:59:28 GMT 2024","Wed Apr 24 10:59:58 GMT 2024","30051","MyTestSuite","MyTest","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"passed","Wed Apr 24 10:59:19 GMT 2024","Wed Apr 24 10:59:20 GMT 2024","362","MyTestSuite","MyTest","apiDemoSimpleTest","apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"broken","Wed Apr 24 10:59:20 GMT 2024","Wed Apr 24 10:59:20 GMT 2024","14","MyTestSuite","MyTest","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"broken","Wed Apr 24 10:59:21 GMT 2024","Wed Apr 24 10:59:28 GMT 2024","7174","MyTestSuite","MyTest","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
