"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 17:14:36 GMT 2024","Thu Apr 18 17:14:37 GMT 2024","1007","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Thu Apr 18 17:14:21 GMT 2024","Thu Apr 18 17:14:22 GMT 2024","1473","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Thu Apr 18 17:13:55 GMT 2024","Thu Apr 18 17:13:55 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"passed","Thu Apr 18 17:14:13 GMT 2024","Thu Apr 18 17:14:14 GMT 2024","633","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"passed","Thu Apr 18 17:14:22 GMT 2024","Thu Apr 18 17:14:23 GMT 2024","569","Surefire suite","Surefire test","apiDemoSimpleTest","apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"passed","Thu Apr 18 17:14:01 GMT 2024","Thu Apr 18 17:14:02 GMT 2024","164","Surefire suite","Surefire test","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
"unknown","Thu Apr 18 17:13:55 GMT 2024","Thu Apr 18 17:13:55 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"unknown","Thu Apr 18 17:13:55 GMT 2024","Thu Apr 18 17:13:55 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Thu Apr 18 17:14:00 GMT 2024","Thu Apr 18 17:14:01 GMT 2024","1638","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Thu Apr 18 17:14:14 GMT 2024","Thu Apr 18 17:14:15 GMT 2024","606","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"unknown","Thu Apr 18 17:13:55 GMT 2024","Thu Apr 18 17:13:55 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"unknown","Thu Apr 18 17:13:55 GMT 2024","Thu Apr 18 17:13:55 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"passed","Thu Apr 18 17:14:23 GMT 2024","Thu Apr 18 17:14:36 GMT 2024","12672","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"passed","Thu Apr 18 17:14:15 GMT 2024","Thu Apr 18 17:14:20 GMT 2024","5563","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Thu Apr 18 17:14:02 GMT 2024","Thu Apr 18 17:14:13 GMT 2024","10712","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Thu Apr 18 17:14:13 GMT 2024","Thu Apr 18 17:14:13 GMT 2024","666","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
