"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Apr 24 18:38:48 GMT 2024","Wed Apr 24 18:38:48 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Wed Apr 24 18:39:24 GMT 2024","Wed Apr 24 18:39:25 GMT 2024","1520","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"passed","Wed Apr 24 18:39:02 GMT 2024","Wed Apr 24 18:39:02 GMT 2024","15","Surefire suite","Surefire test","exampleTests.LogAddTest","exampleTests.LogAddTest","addLogs","addLogs",""
"passed","Wed Apr 24 18:39:22 GMT 2024","Wed Apr 24 18:39:24 GMT 2024","1442","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"unknown","Wed Apr 24 18:38:48 GMT 2024","Wed Apr 24 18:38:48 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"unknown","Wed Apr 24 18:38:48 GMT 2024","Wed Apr 24 18:38:48 GMT 2024","0","Surefire suite","Surefire test","exampleTests.ExamplesTest","exampleTests.ExamplesTest","networkTest","networkTest",""
"unknown","Wed Apr 24 18:38:48 GMT 2024","Wed Apr 24 18:38:48 GMT 2024","0","Surefire suite","Surefire test","exampleTests.ExamplesTest","exampleTests.ExamplesTest","alertTest","alertTest",""
"unknown","Wed Apr 24 18:38:48 GMT 2024","Wed Apr 24 18:38:48 GMT 2024","0","Surefire suite","Surefire test","exampleTests.ExamplesTest","exampleTests.ExamplesTest","sliderTest","sliderTest",""
"unknown","Wed Apr 24 18:38:48 GMT 2024","Wed Apr 24 18:38:48 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"unknown","Wed Apr 24 18:38:48 GMT 2024","Wed Apr 24 18:38:48 GMT 2024","0","Surefire suite","Surefire test","exampleTests.ExamplesTest","exampleTests.ExamplesTest","textBoxFillTest","textBoxFillTest",""
