"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Apr 24 11:38:51 GMT 2024","Wed Apr 24 11:38:51 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"skipped","Wed Apr 24 11:38:51 GMT 2024","Wed Apr 24 11:38:51 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"skipped","Wed Apr 24 11:38:51 GMT 2024","Wed Apr 24 11:38:51 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"broken","Wed Apr 24 11:38:51 GMT 2024","Wed Apr 24 11:38:51 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","setUp","setUp",""
"skipped","Wed Apr 24 11:38:51 GMT 2024","Wed Apr 24 11:38:51 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
"broken","Wed Apr 24 11:38:52 GMT 2024","Wed Apr 24 11:38:52 GMT 2024","0","Surefire suite","Surefire test","LogAddTest","LogAddTest","setUp","setUp",""
"unknown","Wed Apr 24 11:38:30 GMT 2024","Wed Apr 24 11:38:30 GMT 2024","0","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Wed Apr 24 11:38:30 GMT 2024","Wed Apr 24 11:38:30 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"skipped","Wed Apr 24 11:38:52 GMT 2024","Wed Apr 24 11:38:52 GMT 2024","1","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"skipped","Wed Apr 24 11:38:51 GMT 2024","Wed Apr 24 11:38:51 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"skipped","Wed Apr 24 11:38:50 GMT 2024","Wed Apr 24 11:38:50 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"broken","Wed Apr 24 11:38:51 GMT 2024","Wed Apr 24 11:38:51 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","setUp","setUp",""
