"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"passed","Wed Apr 24 11:51:58 GMT 2024","Wed Apr 24 11:51:58 GMT 2024","2","Surefire suite","Surefire test","LogAddTest","LogAddTest","addLogs","addLogs",""
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Wed Apr 24 11:51:33 GMT 2024","Wed Apr 24 11:51:44 GMT 2024","11028","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"passed","Wed Apr 24 11:51:45 GMT 2024","Wed Apr 24 11:51:47 GMT 2024","1538","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Wed Apr 24 11:51:56 GMT 2024","Wed Apr 24 11:51:58 GMT 2024","1450","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"passed","Wed Apr 24 11:51:44 GMT 2024","Wed Apr 24 11:51:45 GMT 2024","1684","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"passed","Wed Apr 24 11:51:10 GMT 2024","Wed Apr 24 11:51:32 GMT 2024","21729","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"unknown","Wed Apr 24 11:50:48 GMT 2024","Wed Apr 24 11:50:48 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
