"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 16:41:25 GMT 2024","Thu Apr 11 16:41:26 GMT 2024","1235","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Thu Apr 11 16:41:21 GMT 2024","Thu Apr 11 16:41:21 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"unknown","Thu Apr 11 16:41:21 GMT 2024","Thu Apr 11 16:41:21 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"passed","Thu Apr 11 16:41:24 GMT 2024","Thu Apr 11 16:41:25 GMT 2024","241","Surefire suite","Surefire test","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
"unknown","Thu Apr 11 16:41:21 GMT 2024","Thu Apr 11 16:41:21 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"passed","Thu Apr 11 16:41:23 GMT 2024","Thu Apr 11 16:41:24 GMT 2024","835","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"unknown","Thu Apr 11 16:41:21 GMT 2024","Thu Apr 11 16:41:21 GMT 2024","2","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Thu Apr 11 16:41:27 GMT 2024","Thu Apr 11 16:41:31 GMT 2024","3962","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
