"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 07:50:01 GMT 2024","Wed Apr 24 07:50:01 GMT 2024","324","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"passed","Wed Apr 24 07:49:51 GMT 2024","Wed Apr 24 07:49:52 GMT 2024","1015","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"passed","Wed Apr 24 07:50:07 GMT 2024","Wed Apr 24 07:50:10 GMT 2024","2277","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"passed","Wed Apr 24 07:49:46 GMT 2024","Wed Apr 24 07:49:46 GMT 2024","211","Surefire suite","Surefire test","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
"unknown","Wed Apr 24 07:49:29 GMT 2024","Wed Apr 24 07:49:29 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"unknown","Wed Apr 24 07:49:29 GMT 2024","Wed Apr 24 07:49:29 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"passed","Wed Apr 24 07:50:01 GMT 2024","Wed Apr 24 07:50:02 GMT 2024","416","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"unknown","Wed Apr 24 07:49:28 GMT 2024","Wed Apr 24 07:49:28 GMT 2024","3","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"unknown","Wed Apr 24 07:49:29 GMT 2024","Wed Apr 24 07:49:29 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"passed","Wed Apr 24 07:50:02 GMT 2024","Wed Apr 24 07:50:07 GMT 2024","5390","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Wed Apr 24 07:49:56 GMT 2024","Wed Apr 24 07:49:57 GMT 2024","1146","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"broken","Wed Apr 24 07:50:29 GMT 2024","Wed Apr 24 07:50:59 GMT 2024","30125","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Wed Apr 24 07:49:49 GMT 2024","Wed Apr 24 07:49:51 GMT 2024","1780","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"passed","Wed Apr 24 07:50:11 GMT 2024","Wed Apr 24 07:50:12 GMT 2024","334","Surefire suite","Surefire test","apiDemoSimpleTest","apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"passed","Wed Apr 24 07:50:12 GMT 2024","Wed Apr 24 07:50:29 GMT 2024","17157","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"unknown","Wed Apr 24 07:49:29 GMT 2024","Wed Apr 24 07:49:29 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
