"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 17:44:38 GMT 2024","Sun Apr 21 17:44:39 GMT 2024","1092","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"passed","Sun Apr 21 17:44:15 GMT 2024","Sun Apr 21 17:44:15 GMT 2024","661","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Sun Apr 21 17:44:40 GMT 2024","Sun Apr 21 17:44:42 GMT 2024","2075","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"passed","Sun Apr 21 17:44:15 GMT 2024","Sun Apr 21 17:44:15 GMT 2024","151","Surefire suite","Surefire test","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
"unknown","Sun Apr 21 17:44:13 GMT 2024","Sun Apr 21 17:44:13 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"unknown","Sun Apr 21 17:44:13 GMT 2024","Sun Apr 21 17:44:13 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"unknown","Sun Apr 21 17:44:13 GMT 2024","Sun Apr 21 17:44:13 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Sun Apr 21 17:44:29 GMT 2024","Sun Apr 21 17:44:30 GMT 2024","686","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"passed","Sun Apr 21 17:44:30 GMT 2024","Sun Apr 21 17:44:31 GMT 2024","702","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"unknown","Sun Apr 21 17:44:13 GMT 2024","Sun Apr 21 17:44:13 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"passed","Sun Apr 21 17:44:31 GMT 2024","Sun Apr 21 17:44:31 GMT 2024","638","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"passed","Sun Apr 21 17:44:31 GMT 2024","Sun Apr 21 17:44:37 GMT 2024","5743","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Sun Apr 21 17:44:42 GMT 2024","Sun Apr 21 17:44:57 GMT 2024","14725","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Sun Apr 21 17:44:39 GMT 2024","Sun Apr 21 17:44:40 GMT 2024","542","Surefire suite","Surefire test","apiDemoSimpleTest","apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"unknown","Sun Apr 21 17:44:13 GMT 2024","Sun Apr 21 17:44:13 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"passed","Sun Apr 21 17:44:16 GMT 2024","Sun Apr 21 17:44:29 GMT 2024","13640","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
