"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 15:39:07 GMT 2024","Mon Apr 29 15:39:16 GMT 2024","9416","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"broken","Mon Apr 29 15:39:55 GMT 2024","Mon Apr 29 15:40:25 GMT 2024","30047","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"passed","Mon Apr 29 15:39:16 GMT 2024","Mon Apr 29 15:39:16 GMT 2024","105","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"broken","Mon Apr 29 15:40:55 GMT 2024","Mon Apr 29 15:40:55 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","attachFilesToFailedTest","attachFilesToFailedTest",""
"passed","Mon Apr 29 15:39:52 GMT 2024","Mon Apr 29 15:39:53 GMT 2024","1192","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
"passed","Mon Apr 29 15:38:29 GMT 2024","Mon Apr 29 15:38:33 GMT 2024","4562","Surefire suite","Surefire test","exampleTests.GoogleSearchTest","exampleTests.GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"passed","Mon Apr 29 15:40:55 GMT 2024","Mon Apr 29 15:41:11 GMT 2024","16139","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"passed","Mon Apr 29 15:39:16 GMT 2024","Mon Apr 29 15:39:16 GMT 2024","143","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"passed","Mon Apr 29 15:39:06 GMT 2024","Mon Apr 29 15:39:06 GMT 2024","5","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"broken","Mon Apr 29 15:39:22 GMT 2024","Mon Apr 29 15:39:52 GMT 2024","30045","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"passed","Mon Apr 29 15:38:36 GMT 2024","Mon Apr 29 15:39:06 GMT 2024","30100","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"passed","Mon Apr 29 15:41:13 GMT 2024","Mon Apr 29 15:41:14 GMT 2024","756","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Mon Apr 29 15:38:34 GMT 2024","Mon Apr 29 15:38:36 GMT 2024","2402","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"passed","Mon Apr 29 15:39:17 GMT 2024","Mon Apr 29 15:39:22 GMT 2024","5091","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Mon Apr 29 15:41:14 GMT 2024","Mon Apr 29 15:41:14 GMT 2024","176","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","loginTest","loginTest","Succesfull login"
"skipped","Mon Apr 29 15:40:55 GMT 2024","Mon Apr 29 15:40:55 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"skipped","Mon Apr 29 15:40:55 GMT 2024","Mon Apr 29 15:40:55 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"passed","Mon Apr 29 15:39:53 GMT 2024","Mon Apr 29 15:39:54 GMT 2024","1240","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"passed","Mon Apr 29 15:38:27 GMT 2024","Mon Apr 29 15:38:28 GMT 2024","372","Surefire suite","Surefire test","exampleTests.apiDemoSimpleTest","exampleTests.apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"passed","Mon Apr 29 15:38:28 GMT 2024","Mon Apr 29 15:38:28 GMT 2024","14","Surefire suite","Surefire test","exampleTests.LogAddTest","exampleTests.LogAddTest","addLogs","addLogs",""
"passed","Mon Apr 29 15:41:11 GMT 2024","Mon Apr 29 15:41:13 GMT 2024","1292","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Mon Apr 29 15:39:16 GMT 2024","Mon Apr 29 15:39:17 GMT 2024","86","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
