"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Apr 24 18:55:13 GMT 2024","Wed Apr 24 18:55:13 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"unknown","Wed Apr 24 18:55:13 GMT 2024","Wed Apr 24 18:55:13 GMT 2024","0","Surefire suite","Surefire test","exampleTests.ExamplesTest","exampleTests.ExamplesTest","textBoxFillTest","textBoxFillTest",""
"unknown","Wed Apr 24 18:55:13 GMT 2024","Wed Apr 24 18:55:13 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
"passed","Wed Apr 24 18:55:44 GMT 2024","Wed Apr 24 18:55:46 GMT 2024","1327","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"unknown","Wed Apr 24 18:55:13 GMT 2024","Wed Apr 24 18:55:13 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"unknown","Wed Apr 24 18:55:13 GMT 2024","Wed Apr 24 18:55:13 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"unknown","Wed Apr 24 18:55:13 GMT 2024","Wed Apr 24 18:55:13 GMT 2024","0","Surefire suite","Surefire test","exampleTests.GoogleSearchTest","exampleTests.GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"passed","Wed Apr 24 18:55:50 GMT 2024","Wed Apr 24 18:55:51 GMT 2024","1466","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Wed Apr 24 18:55:51 GMT 2024","Wed Apr 24 18:55:52 GMT 2024","902","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"unknown","Wed Apr 24 18:55:13 GMT 2024","Wed Apr 24 18:55:13 GMT 2024","0","Surefire suite","Surefire test","exampleTests.ExamplesTest","exampleTests.ExamplesTest","sliderTest","sliderTest",""
