"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Apr 15 17:25:46 GMT 2024","Mon Apr 15 17:25:46 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"unknown","Mon Apr 15 17:25:46 GMT 2024","Mon Apr 15 17:25:46 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"passed","Mon Apr 15 17:25:48 GMT 2024","Mon Apr 15 17:25:49 GMT 2024","1119","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Mon Apr 15 17:25:50 GMT 2024","Mon Apr 15 17:25:52 GMT 2024","1669","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Mon Apr 15 17:25:46 GMT 2024","Mon Apr 15 17:25:46 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Mon Apr 15 17:26:01 GMT 2024","Mon Apr 15 17:26:02 GMT 2024","1184","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Mon Apr 15 17:25:52 GMT 2024","Mon Apr 15 17:25:55 GMT 2024","3204","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"passed","Mon Apr 15 17:25:49 GMT 2024","Mon Apr 15 17:25:50 GMT 2024","257","Surefire suite","Surefire test","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
"passed","Mon Apr 15 17:25:56 GMT 2024","Mon Apr 15 17:25:56 GMT 2024","1","Surefire suite","Surefire test","ClassTarasTest","ClassTarasTest","openPageTest","openPageTest",""
"unknown","Mon Apr 15 17:25:46 GMT 2024","Mon Apr 15 17:25:46 GMT 2024","2","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"passed","Mon Apr 15 17:25:56 GMT 2024","Mon Apr 15 17:26:01 GMT 2024","4708","Surefire suite","Surefire test","ElementsHelenTest","ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
