"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 29 13:59:49 GMT 2024","Mon Apr 29 13:59:49 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","attachFilesToFailedTest","attachFilesToFailedTest",""
"passed","Mon Apr 29 14:01:02 GMT 2024","Mon Apr 29 14:01:04 GMT 2024","1831","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxPositiveTest","elementsTextboxPositiveTest","Elements_textbox testing"
"passed","Mon Apr 29 13:58:32 GMT 2024","Mon Apr 29 13:58:33 GMT 2024","1242","Surefire suite","Surefire test","exampleTests.GoogleSearchTest","exampleTests.GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"passed","Mon Apr 29 13:58:30 GMT 2024","Mon Apr 29 13:58:31 GMT 2024","580","Surefire suite","Surefire test","exampleTests.apiDemoSimpleTest","exampleTests.apiDemoSimpleTest","apiResponeTest","apiResponeTest",""
"broken","Mon Apr 29 13:58:49 GMT 2024","Mon Apr 29 13:59:19 GMT 2024","30041","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newTabTest","newTabTest",""
"passed","Mon Apr 29 13:58:44 GMT 2024","Mon Apr 29 13:58:49 GMT 2024","5131","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","timeallertDialogTest","timeallertDialogTest",""
"passed","Mon Apr 29 14:01:04 GMT 2024","Mon Apr 29 14:01:05 GMT 2024","697","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"passed","Mon Apr 29 13:58:37 GMT 2024","Mon Apr 29 13:58:40 GMT 2024","3150","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram1test","fram1test",""
"passed","Mon Apr 29 14:01:05 GMT 2024","Mon Apr 29 14:01:05 GMT 2024","186","Surefire suite","Surefire test","gropItFriendly.OksanaTest","gropItFriendly.OksanaTest","loginTest","loginTest","Succesfull login"
"passed","Mon Apr 29 13:58:43 GMT 2024","Mon Apr 29 13:58:44 GMT 2024","110","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","promtButton","promtButton",""
"skipped","Mon Apr 29 13:59:49 GMT 2024","Mon Apr 29 13:59:49 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowTest","newWindowTest",""
"broken","Mon Apr 29 13:59:50 GMT 2024","Mon Apr 29 14:00:20 GMT 2024","30038","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","largeModalSimpletest","largeModalSimpletest","Test wrote by playwright recorder"
"broken","Mon Apr 29 14:00:50 GMT 2024","Mon Apr 29 14:00:50 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","attachFilesToFailedTest","attachFilesToFailedTest",""
"passed","Mon Apr 29 13:58:33 GMT 2024","Mon Apr 29 13:58:37 GMT 2024","3302","Surefire suite","Surefire test","alertsFramesWindows.NestedFramesTest","alertsFramesWindows.NestedFramesTest","test","test",""
"passed","Mon Apr 29 13:58:43 GMT 2024","Mon Apr 29 13:58:43 GMT 2024","114","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonOk","confirmButtonOk",""
"passed","Mon Apr 29 13:58:40 GMT 2024","Mon Apr 29 13:58:43 GMT 2024","2683","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","allertDialogTest","allertDialogTest",""
"passed","Mon Apr 29 13:58:40 GMT 2024","Mon Apr 29 13:58:40 GMT 2024","7","Surefire suite","Surefire test","alertsFramesWindows.FramesTest","alertsFramesWindows.FramesTest","fram2test","fram2test",""
"skipped","Mon Apr 29 13:59:49 GMT 2024","Mon Apr 29 13:59:49 GMT 2024","1","Surefire suite","Surefire test","alertsFramesWindows.WindowsTest","alertsFramesWindows.WindowsTest","newWindowMessageTest","newWindowMessageTest",""
"passed","Mon Apr 29 13:58:31 GMT 2024","Mon Apr 29 13:58:31 GMT 2024","9","Surefire suite","Surefire test","exampleTests.LogAddTest","exampleTests.LogAddTest","addLogs","addLogs",""
"passed","Mon Apr 29 14:00:50 GMT 2024","Mon Apr 29 14:01:02 GMT 2024","11913","Surefire suite","Surefire test","gropItFriendly.ElementsHelenTest","gropItFriendly.ElementsHelenTest","elementsTextboxNegativeTest","elementsTextboxNegativeTest","Elements_checkbox testing"
"skipped","Mon Apr 29 14:00:50 GMT 2024","Mon Apr 29 14:00:50 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModalSimpletest","smallModalSimpletest",""
"skipped","Mon Apr 29 14:00:50 GMT 2024","Mon Apr 29 14:00:50 GMT 2024","0","Surefire suite","Surefire test","alertsFramesWindows.DialogsTest","alertsFramesWindows.DialogsTest","smallModaltest","smallModaltest","Test wrote by playwright recorder"
"passed","Mon Apr 29 13:58:43 GMT 2024","Mon Apr 29 13:58:43 GMT 2024","166","Surefire suite","Surefire test","alertsFramesWindows.AlertsTest","alertsFramesWindows.AlertsTest","confirmButtonCancel","confirmButtonCancel",""
