"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Apr 04 18:45:02 GMT 2024","Thu Apr 04 18:45:02 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"unknown","Thu Apr 04 18:45:02 GMT 2024","Thu Apr 04 18:45:02 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"passed","Thu Apr 04 18:45:08 GMT 2024","Thu Apr 04 18:45:08 GMT 2024","0","Surefire suite","Surefire test","ClassTarasTest","ClassTarasTest","openPageTest","openPageTest",""
"passed","Thu Apr 04 18:45:04 GMT 2024","Thu Apr 04 18:45:08 GMT 2024","4101","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"passed","Thu Apr 04 18:45:09 GMT 2024","Thu Apr 04 18:45:11 GMT 2024","1841","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Thu Apr 04 18:45:02 GMT 2024","Thu Apr 04 18:45:02 GMT 2024","2","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Thu Apr 04 18:45:12 GMT 2024","Thu Apr 04 18:45:12 GMT 2024","184","Surefire suite","Surefire test","OksanaTest","OksanaTest","loginTest","loginTest","Succesfull login"
"passed","Thu Apr 04 18:45:11 GMT 2024","Thu Apr 04 18:45:12 GMT 2024","878","Surefire suite","Surefire test","OksanaTest","OksanaTest","addToBagTest","addToBagTest","Add product to the bag"
"unknown","Thu Apr 04 18:45:02 GMT 2024","Thu Apr 04 18:45:02 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
